Window size: 100
Server error Rate: 1000
expRTT,jitter,timeoutValue
-655625,5.1446376617543645E7,3.501326239186958E7,191499426
-1506726,4.482723879035069E7,3.784343799148986E7,196200990
-1140869,3.9081225316556856E7,3.84381020727566E7,192833633
-2360202,3.390104690198725E7,3.789388878006426E7,185476602
-2220832,2.938581203923884E7,3.632207759485791E7,174674122
-726699,2.5621748159333985E7,3.382866998597693E7,160936428
63964680,3.041461463941724E7,3.3759018829628386E7,165450689
-848475,2.6506728434490085E7,3.2158064980843812E7,155138988
77853728,3.2925103380178824E7,3.535070489058815E7,174327922
64350084,3.685322595765647E7,3.3387243178526994E7,170402198
89768589,4.346764633794941E7,3.661566804940789E7,189930318
64720417,4.6124242670705736E7,3.2110794619379483E7,174567421
65265769,4.851693346186752E7,2.8270304849067733E7,161598152
65133216,5.059396877913408E7,2.483754044201728E7,149944130
90009642,5.552092793174232E7,2.725033384857738E7,164522263
64545204,5.664896244027453E7,2.24118107763644E7,146296205
64674574,5.765216388524021E7,1.8564460610963248E7,131910006
65043027,5.857602177458519E7,1.5540096764576139E7,120736408
89969538,6.250021130276204E7,1.8522404247741595E7,136589828
-1567544,5.4491741889916785E7,2.7906624658285394E7,166118240
91535389,5.912219777867719E7,2.903326629904475E7,175255262
64973570,5.985361930634254E7,2.3054937397697926E7,152073368
91454407,6.3803717768049724E7,2.4203875356261015E7,160619219
91454407,6.3803717768049724E7,2.4203875356261015E7,321238438
90219940,6.710574554704351E7,2.3931455130434886E7,162831566
77541843,6.841025772866307E7,2.0231487665660396E7,149336208
-8954471,5.8739666637580186E7,3.2097150158640344E7,187128267
66985635,5.977041268288267E7,2.5876668198259592E7,163277085
45107167,5.793750697252233E7,2.2615086141825277E7,148397851
42525813,5.601104522595704E7,2.0332622662858218E7,137341535
47113747,5.4898882947712414E7,1.719575098407177E7,123681886
10345566,4.932971832924836E7,2.2642851320365917E7,139901123
45641498,4.8868690788092315E7,1.7788936687297516E7,120024437
44794422,4.8359407189580776E7,1.423294881286833E7,105291202
10035237,4.3568885915883176E7,1.905812383862204E7,119801381
45830986,4.385164842639778E7,1.4788427272367086E7,103005357
41948991,4.361381624809805E7,1.1507526766299827E7,89643923
42272174,4.344611096708579E7,8924129.316496318,79142628
24916288,4.112988309620007E7,1.0746495761422256E7,84115866
35063739,4.0371615084175065E7,9386840.842110459,77918978
10892288,3.6686699198653184E7,1.348873343124614E7,90641632
41451402,3.728228704882154E7,1.115882881122922E7,81917602
41677620,3.783170366771884E7,9330600.691492204,75154106
44599856,3.867772270925399E7,8478483.841305654,72591658
25265967,3.700125324559724E7,9292684.44237855,74171991
42937574,3.774329333989759E7,8268083.496809516,70815627
41925692,3.826609317241039E7,7115962.329504539,66729942
25140979,3.662545390085909E7,8208090.472343177,69457815
48883899,3.81577595382517E7,8837602.719694458,73508170
48107666,3.9401497845970236E7,8804744.078278285,74620474
44176808,3.999841161522396E7,7648157.154902724,70591040
47652853,4.0955216788320966E7,7410526.919096801,70597324
26103583,3.9098762564780846E7,8806690.080517814,74325522
45118152,3.985118624418324E7,7921758.99934255,71538222
27079192,3.825468696366034E7,8735192.990421996,73195458
28089950,3.69840948432028E7,8774930.953617197,72083818
45372660,3.8032665487802446E7,8416196.843262285,71697452
45600549,3.897865092682714E7,7967622.150739929,70849139
19921126,3.659646031097375E7,1.0144550190798383E7,77174661
20302537,3.455971989710203E7,1.1172708367374294E7,79250553
20402946,3.2790123159964275E7,1.1476325565521788E7,78695425
44308805,3.422995838996874E7,1.1126955826649155E7,78737781
22512969,3.2765334716222644E7,1.0908308299042527E7,76398567
17113474,3.0808852126694813E7,1.16050757559556E7,77229155
20156358,2.9477290360857964E7,1.103403990718119E7,73613449
20547568,2.8361075065750718E7,1.0228906696823573E7,69276701
23715743,2.778040855753188E7,8687846.412000649,62531794
20675286,2.689226823784039E7,8070130.368460584,59172789
20284538,2.6066301958110344E7,7498038.765873024,56058457
20126709,2.5323852838346552E7,6922815.033991407,53015112
12815540,2.3760313733553234E7,7928304.708881863,55473532
13952186,2.253429776685908E7,8091756.473376168,54901323
14312334,2.1506552296001695E7,7867371.929032549,52976040
19850535,2.1299550134001482E7,6262782.7302747825,46350681
22205915,2.1412845742251296E7,4895354.362143263,40994263
14610709,2.0562578649469882E7,5159483.183974918,41200511
14103305,1.9755169443286147E7,5282578.498802725,40885483
15069458,1.9169455512875378E7,4986933.252320888,39117188
14929634,1.8639477823765956E7,4667660.895182155,37310121
23073945,1.919378622079521E7,4470785.366187814,37076927
23902951,1.978243181819581E7,4383218.820091908,37315307
22986312,2.018291684092133E7,3988262.9048385983,36135968
22383048,2.0457933235806163E7,3472475.8696774077,34347836
22596341,2.0725234206330393E7,3072133.6006754576,33013768
24593448,2.1208760930539094E7,3150271.9678718196,33809848
25030888,2.1686526814221706E7,3198794.2723484384,34481703
24940228,2.2093239462443992E7,3110842.838650331,34536610
24228096,2.236009652963849E7,2800131.9965781253,33560624
25359784,2.273505746343368E7,2756280.631575174,33760179
24874985,2.300254840550447E7,2535319.6223052633,33143826
24065372,2.313540135481641E7,2133982.378024845,31671330
25690603,2.345480156046436E7,2159437.143402544,32092550
25612765,2.3724546990406316E7,2091632.359950329,32091076
15986055,2.2757235491605528E7,3261519.3928641286,35803313
17133802,2.2054306305154838E7,3676265.620936806,36759368
21397422,2.1972195767010484E7,2900892.6574552255,33575766
26209265,2.2501829421134174E7,3102528.387807876,34911942
26327565,2.2980046368492402E7,3163775.9487328064,35635150
25536463,2.3299598447430853E7,2932048.0996918916,35027790
25436612,2.3566725141501997E7,2666507.7893934194,34232756
17501432,2.2808563498814248E7,3326663.7167486264,36115218
18272988,2.2241616561462466E7,3487154.927927086,36190236
18003416,2.1711841491279658E7,3542472.568765229,35881731
18603164,2.13232568048697E7,3336877.627791347,34670767
17753141,2.0876992329260986E7,3283621.053158757,34011476
18403241,2.0567773413103364E7,3003848.893144909,32583168
17925717,2.0237516361465443E7,2830836.5102250422,31560862
18213084,1.998446231628226E7,2565971.961739347,30248350
13553388,1.9180578026746977E7,3331276.4779912545,32505683
26263970,2.0066002023403604E7,4047949.35264254,36257799
15511314,1.949666602047815E7,4032300.019601443,35625866
21821778,1.978730501791838E7,3532843.260221487,33918678
25146479,2.0457201765678585E7,3821951.753746469,35745008
25801127,2.112519241996876E7,4035447.4603176615,37266982
25233576,2.1638740367472667E7,3925294.503370079,37339918
25398255,2.2108679696538582E7,3766364.7033929136,37174138
23163117,2.224048435947126E7,3055431.68767687,34462211
25661736,2.2668140814537354E7,3039972.562123314,34828031
25088451,2.2970679587720186E7,2809422.2746624392,34208368
25007932,2.3225336139255162E7,2552715.671183039,33436198
19548330,2.2765710371848267E7,2718881.846349346,33641237
25363846,2.3090477325367235E7,2607503.553420201,33520491
26550446,2.352297340969633E7,2712495.8126410684,34372956
26893751,2.3944320608484287E7,2771729.4573597293,35031238
27638204,2.440605603242375E7,2886834.0849138596,35953392
27402937,2.4780666153370783E7,2820693.275342699,36063439
27579158,2.5130477634199433E7,2727690.047957166,36041237
28084274,2.5499702179924503E7,2691910.4909867486,36267344
26597452,2.5636920907433942E7,2259065.6413815757,34673183
27204191,2.58328296690047E7,2037139.5637850065,33981387
27860753,2.6086320085379113E7,1971462.9014939768,33972171
27301343,2.6238197949706722E7,1744383.438693802,33215731
27955133,2.645281483099338E7,1683867.1212720065,33188283
27955133,2.645281483099338E7,1683867.1212720065,66376566
27955133,2.645281483099338E7,1683867.1212720065,132753132
27955133,2.645281483099338E7,1683867.1212720065,265506264
27955133,2.645281483099338E7,1683867.1212720065,500000000
26099688,2.6408673977119207E7,1340146.8352338066,31769261
19612571,2.5559161104979306E7,2491757.6526701814,35526191
27020033,2.5741770091856893E7,2188383.9665384125,34495305
27297990,2.593629758037478E7,1981711.079810114,33863141
27213914,2.6095999632827934E7,1765761.901650602,33159047
25583669,2.603195830372444E7,1436393.752169062,31777533
27550814,2.6221815265758887E7,1409544.9976870748,31859995
25527138,2.6134980607539028E7,1209119.400150063,30971458
27701611,2.633080940659665E7,1249539.948463385,31328969
27477519,2.6474148105772067E7,1187997.684904522,31226138
25801800,2.6390104592550557E7,1038074.4118160307,30542402
16526908,2.515720501848174E7,2936130.063482458,36901725
13751011,2.3731430766171522E7,4697202.489154724,42520240
18394217,2.3064279045400083E7,4690417.378216064,41825948
16657313,2.2263408289725073E7,4919336.856093315,41940755
18532046,2.179698800350944E7,4505738.142947346,39819940
25782001,2.229511462807076E7,4251025.200192819,39299215
16494019,2.1569977674561914E7,4457258.568785093,39399011
16801495,2.0973917340241674E7,4386049.511649238,38518115
21553658,2.1046384922711466E7,3416355.403059062,34711806
25590239,2.1614366682372533E7,3556234.6317011635,35839305
22695693,2.1749532472075965E7,2903716.105756881,33364396
21711232,2.174474491306647E7,2186165.3075842783,30489406
22130788,2.179300029893316E7,1724070.9059549188,28689283
21865371,2.1802046636566516E7,1308884.27032456,27037583
21865371,2.1802046636566516E7,1308884.27032456,54075166
21865371,2.1802046636566516E7,1308884.27032456,108150332
21865371,2.1802046636566516E7,1308884.27032456,216300664
21865371,2.1802046636566516E7,1308884.27032456,432601328
21865371,2.1802046636566516E7,1308884.27032456,500000000
21865371,2.1802046636566516E7,1308884.27032456,500000000
21865371,2.1802046636566516E7,1308884.27032456,500000000
21865371,2.1802046636566516E7,1308884.27032456,500000000
21865371,2.1802046636566516E7,1308884.27032456,500000000
21865371,2.1802046636566516E7,1308884.27032456,500000000
21865371,2.1802046636566516E7,1308884.27032456,500000000
21865371,2.1802046636566516E7,1308884.27032456,500000000
21865371,2.1802046636566516E7,1308884.27032456,500000000
21865371,2.1802046636566516E7,1308884.27032456,500000000
21865371,2.1802046636566516E7,1308884.27032456,500000000
21865371,2.1802046636566516E7,1308884.27032456,500000000
21865371,2.1802046636566516E7,1308884.27032456,500000000
22862119,2.19345556819957E7,1213554.0322444949,26788771
22336244,2.198476672174624E7,998034.8437468112,25976906
